"toia_id","video_language","interactor_language","rating","similarity_score"
"5","en-US","ar-AE","4","0.68149"
"5","en-US","ar-AE","3","0.710761"
"5","en-US","ar-AE","3","0.77519"
"5","en-US","ar-AE","1","0.565169"
"5","en-US","ar-AE","3","0.727062"
"5","en-US","ar-AE","1","0.645878"
"5","en-US","ar-AE","1","0.399887"
"5","en-US","ar-AE","3","0.78106"
"5","en-US","ar-AE","2","0.596485"
"5","en-US","ar-AE","4","0.546394"
"5","en-US","ar-AE","4","0.665159"
"5","en-US","ar-AE","5","0.567959"
"5","en-US","ar-AE","1","0.37904"
"5","en-US","ar-AE","1","0.580664"
"5","en-US","ar-AE","1","0.566482"
"5","en-US","ar-AE","3","0.566357"
"5","en-US","ar-AE","4","0.609317"
"5","en-US","ar-AE","3","0.646798"
"5","en-US","ar-AE","3","0.50803"
"5","en-US","ar-AE","2","0.478239"
"5","en-US","ar-AE","3","0.658185"
"5","en-US","ar-AE","1","0.540462"
"5","en-US","ar-AE","3","0.755845"
"5","en-US","ar-AE","1","0.432887"
"5","en-US","ar-AE","1","0.578319"
"5","en-US","ar-AE","2","0.60188"
"5","en-US","ar-AE","1","0.508267"
"5","en-US","ar-AE","3","0.676451"
"5","en-US","ar-AE","2","0.527198"
"5","en-US","ar-AE","1","0.645316"
"5","en-US","ar-AE","2","0.578924"
"5","en-US","ar-AE","3","0.661928"
"5","en-US","ar-AE","2","0.608739"
"5","en-US","ar-AE","1","0.41158"
"5","en-US","ar-AE","3","0.617379"
"5","en-US","ar-AE","2","0.51742"
"5","en-US","ar-AE","5","0.689535"
"5","en-US","ar-AE","5","0.567959"
"5","en-US","ar-AE","4","0.702722"
"5","en-US","ar-AE","2","0.600292"
"5","en-US","ar-AE","3","0.388258"
"5","en-US","ar-AE","2","0.586987"
"5","en-US","ar-AE","1","0.37904"
"5","en-US","ar-AE","3","0.684931"
"5","en-US","ar-AE","3","0.720114"
"5","en-US","ar-AE","5","0.567959"
"5","en-US","ar-AE","3","0.645459"
"5","en-US","ar-AE","3","0.522517"
"5","en-US","ar-AE","3","0.497237"
"5","en-US","ar-AE","1","0.645316"
"5","en-US","ar-AE","3","0.565942"
"5","en-US","ar-AE","1","0.378404"
"5","en-US","ar-AE","3","0.481669"
"5","en-US","ar-AE","1","0.387243"
"5","en-US","ar-AE","3","0.550099"
"5","en-US","ar-AE","3","0.508577"
"5","en-US","ar-AE","2","0.554748"
"5","en-US","ar-AE","5","0.391376"
"5","en-US","ar-AE","5","0.58333"
"5","en-US","ar-AE","3","0.348078"
"5","en-US","ar-AE","1","0.364593"
"5","en-US","ar-AE","1","0.663614"
"5","en-US","ar-AE","3","0.77519"
"5","en-US","ar-AE","1","0.356869"
"5","en-US","ar-AE","3","0.541796"
"5","en-US","ar-AE","1","0.554632"
"5","en-US","ar-AE","1","0.42199"
"5","en-US","ar-AE","1","0.378404"
"5","en-US","ar-AE","3","0.586206"
"5","en-US","ar-AE","1","0.494333"
"5","en-US","ar-AE","1","0.448886"
"5","en-US","ar-AE","1","0.387243"
"5","en-US","ar-AE","2","0.645878"
"5","en-US","ar-AE","4","0.547055"
"5","en-US","ar-AE","3","0.811985"
"5","en-US","ar-AE","2","0.570666"
"5","en-US","ar-AE","1","0.581591"
"5","en-US","ar-AE","2","0.513935"
"5","en-US","ar-AE","1","0.372411"
"5","en-US","ar-AE","1","0.565169"
"5","en-US","en-US","2","0.458626"
"5","en-US","en-US","1","0.619312"
"5","en-US","en-US","2","0.657788"
"5","en-US","en-US","3","0.618404"
"5","en-US","en-US","3","0.718148"
"5","en-US","en-US","1","0.517698"
"5","en-US","en-US","2","0.709596"
"5","en-US","en-US","5","0.569147"
"5","en-US","en-US","1","0.47895"
"5","en-US","en-US","2","0.669354"
"5","en-US","en-US","1","0.516221"
"5","en-US","en-US","4","0.676206"
"5","en-US","en-US","4","0.586355"
"5","en-US","en-US","5","0.409903"
"5","en-US","en-US","4","0.814617"
"5","en-US","en-US","4","0.709439"
"5","en-US","en-US","4","0.498539"
"5","en-US","en-US","4","0.680371"
"5","en-US","en-US","2","0.598804"
"5","en-US","en-US","4","0.58874"
"5","en-US","en-US","4","0.599017"
"5","en-US","en-US","4","0.784236"
"5","en-US","en-US","2","0.442639"
"5","en-US","en-US","1","0.513752"
"5","en-US","en-US","1","0.392248"
"5","en-US","en-US","5","0.419438"
"5","en-US","en-US","5","0.635219"
"5","en-US","en-US","3","0.397787"
"5","en-US","en-US","1","0.392248"
"5","en-US","en-US","4","0.34634"
"5","en-US","en-US","2","0.419755"
"5","en-US","en-US","1","0.571542"
"5","en-US","en-US","1","0.466268"
"5","en-US","en-US","2","0.64268"
"5","en-US","en-US","4","0.634222"
"5","en-US","en-US","2","0.545804"
"5","en-US","en-US","2","0.663024"
"5","en-US","en-US","1","0.402227"
"5","en-US","en-US","2","0.665508"
"5","en-US","en-US","1","0.644446"
"5","en-US","en-US","1","0.663329"
"5","en-US","en-US","2","0.487266"
"5","en-US","en-US","1","0.591321"
"5","en-US","en-US","2","0.499426"
"5","en-US","en-US","4","0.574086"
"5","en-US","en-US","2","0.586682"
"5","en-US","en-US","2","0.358581"
"5","en-US","en-US","2","0.343266"
"5","en-US","en-US","2","0.528363"
"5","en-US","en-US","2","0.517698"
"5","en-US","en-US","1","0.432639"
"5","en-US","en-US","1","0.39254"
"5","en-US","en-US","5","0.513752"
"5","en-US","en-US","5","0.635219"
"5","en-US","en-US","1","0.607011"
"5","en-US","en-US","5","0.635219"
"5","en-US","en-US","1","0.517698"
"5","en-US","en-US","4","0.737944"
"5","en-US","en-US","1","0.498484"
"5","en-US","en-US","4","0.816068"
"5","en-US","en-US","1","0.355455"
"5","en-US","en-US","4","0.711072"
"5","en-US","en-US","1","0.476108"
"5","en-US","en-US","4","0.512568"
"5","en-US","en-US","1","0.330594"
"5","en-US","en-US","1","0.392248"
"5","en-US","en-US","4","0.613488"
"5","en-US","en-US","2","0.684218"
"5","en-US","en-US","1","0.48835"
"5","en-US","en-US","1","0.417916"
"5","en-US","en-US","2","0.611158"
"5","en-US","en-US","2","0.615726"
"5","en-US","en-US","1","0.513753"
"5","en-US","en-US","2","0.72244"
"5","en-US","en-US","1","0.501305"
"6","en-US","en-US","2","0.380301"
"6","en-US","en-US","3","0.449808"
"6","en-US","en-US","4","0.444408"
"6","en-US","en-US","1","0.395089"
"6","en-US","en-US","2","0.422647"
"6","en-US","en-US","4","0.529269"
"6","en-US","en-US","2","0.495777"
"6","en-US","en-US","4","0.4915"
"6","en-US","en-US","4","0.4915"
"6","en-US","en-US","3","0.488376"
"6","en-US","en-US","5","0.388743"
"6","en-US","en-US","1","0.518591"
"6","en-US","en-US","2","0.421528"
"6","en-US","en-US","3","0.554492"
"6","en-US","en-US","5","0.433805"
"6","en-US","en-US","2","0.482714"
"6","en-US","en-US","5","0.678421"
"6","en-US","en-US","2","0.408937"
"6","en-US","en-US","3","0.554956"
"6","en-US","en-US","1","0.490948"
"6","en-US","en-US","1","0.437637"
"6","en-US","en-US","4","0.629515"
"6","en-US","en-US","3","0.567629"
"6","en-US","en-US","3","0.559156"
"6","en-US","en-US","5","0.64769"
"6","en-US","en-US","5","0.623503"
"6","en-US","en-US","5","0.646142"
"6","en-US","en-US","1","0.408937"
"6","en-US","en-US","3","0.444295"
"6","en-US","en-US","5","0.518591"
"6","en-US","en-US","3","0.514242"
"6","en-US","en-US","4","0.418006"
"6","en-US","en-US","1","0.404069"
"6","en-US","en-US","1","0.433563"
"6","en-US","en-US","1","0.582017"
"6","en-US","en-US","1","0.316124"
"6","en-US","en-US","3","0.565359"
"6","en-US","en-US","1","0.724942"
"6","en-US","en-US","1","0.483449"
"6","en-US","en-US","2","0.42296"
"6","en-US","en-US","2","0.543216"
"6","en-US","en-US","1","0.512211"
"6","en-US","en-US","3","0.434692"
"6","en-US","en-US","1","0.437233"
"6","en-US","en-US","2","0.482828"
"6","en-US","en-US","1","0.529558"
"6","en-US","en-US","5","0.417344"
"6","en-US","en-US","5","0.646142"
"6","en-US","en-US","1","0.626405"
"6","en-US","en-US","3","0.372052"
"6","en-US","en-US","3","0.499213"
"6","en-US","en-US","2","0.448656"
"6","en-US","en-US","5","0.511623"
